Num,Tipo,Voce,Cat,Italiano,Et_Audio
1,lemma,babà,sf,voce bambinesca per acqua o una bibita qualsiasi,baba
2,lemma,bàba,sf,"donna ciarliera, pettegola, chiacchierona e un po’ ficcanaso",baba
3,lemma,babàr,vb,"chiacchierare, ciarlare a lungo, in continuazione, pettegolare",babar
4,lemma,babilòli,sm,"a cavalluccio - anche: a belòio, babilòio",babiloli
5,lemma,babóna,sf,"chiacchierona, pettegola, logorroica",babona
6,lemma,bacàn,sm,"1. contadino ricco, possidente di terre, fig. contadino rozzo, 2. baccano, fracasso, casino",bacan
7,locuzione,bacàn (sa èlo sto –),loc,"cos'è questo baccano, cos'è questo fracasso",bacàn (sa èlo sto –)
8,lemma,bacanòt,sm,contadinello e ricco,bacanot
9,lemma,bachét,sf,"bacchetta, bastoncino, pezzo di legno, legnetto, paletto - anche: bachèta",bachet
10,lemma,bachetàr,vb,"bacchettare, percuotere con la bacchetta; rimprovero, biasimo",bachetar
11,lemma,bachetón,sm,"1. bacchettone, bigotto; 2. pania, bacchette invischiate per uccellagione - anche: cetìn, santarèl",bacheton
12,locuzione,bachetón (arivàr sul -),loc,esser preso da qualcuno che ne aspetta l'occasione.,bacheton (arivar sul -)
13,locuzione,bachetón (té vegnirai sul –),loc,"verrai a tiro, te la farò pagare",bacheton (te vegnirai sul –)
14,lemma,bacuchèl,sm,"casotto, baracca, capanno, gabbiotto",bacuchel
15,lemma,bacùco,agg,"scemo, rimbambito, vecchio cadente",bacuco
16,locuzione,bada (tegnir a –),loc,"tenere d'occhio, mettere sotto controllo",bada (tegnir a –)
17,lemma,badàr,vb,"badare, custodire, far attenzione",badar
18,lemma,badésa,sf,"badessa, superiore, donnone, saccente - anche: comandarésa",badesa
19,lemma,badesàr,vb,"padroneggiare, comandare, dominare - fig. fare la badessa",badesar
20,lemma,badìl,sm,"badile, pala",badil
21,lemma,baf,sm,"baffo, mustacchi",baf
22,locuzione,baf (nó dir gnanca en –),loc,"non dire neanche una parola, non aprir bocca",baf (no dir gnanca en –)
23,lemma,baféto,sm,"baffetto, fregio; fig. capo, comandante",bafeto
24,lemma,baga,sf,1. otre di pelle; 2. persona grassoccia e piccola di statura - anche: bagonghi,baga
25,lemma,bagài,sm,"bagaglio, bagagli",bagai
26,lemma,baghèga,sm,"piccino, piccoletto, ometto",baghega
27,lemma,bàgherle,sm,"biroccio, calesse, carrozza a due o quattro ruote, con mantice",bagherle
28,lemma,bagianada,sf,"baggianata, sciocchezza, stupidaggine",bagianada
29,lemma,bagigi,smpl,"noccioline americane, arachidi",bagigi
30,lemma,bagnàr,vb,"bagnare, ammollare",bagnar
31,lemma,bagnifa,sf,"concia del selvatico, marinata",bagnifa
32,lemma,bàgola,sf,"1. bacca, frutto del bagolaro; 2. cacherello di capra, di topi, dei bachi da seta; 3. ginepro; 4. vigile urbano",bagola
33,lemma,bagolàr,sm,"bagolaro, loto (pianta), albero di bacche nere",bagolar
34,lemma,bagolàr,vb,"tremare, battere i denti, provare i brividi, avere freddo",bagolar
35,locuzione,bagolàr dal frét,loc,"tremare dal freddo, battere i denti, rabbrividire",bagolar dal fret
36,lemma_variant,bàgole,sfpl,"1. bacche; 2. chiacchiere, bazzecole, piccolezze; 3. escrementi di capra, pecora, topi, ecc.",bagole
37,locuzione,bàgole de càora,loc,sterco di capra,bagole de caora
38,locuzione,bàgole de pégora,loc,sterco di pecora,bagole de pegora
39,lemma,bagolòn,agg,"freddoloso, spaccone, millantatore, chiacchierone",bagolon
40,lemma,bagónghi,sm,"nano da circo, nano grassoccio, nanerottolo",bagonghi
41,lemma,bai,smpl,insetti,bai
42,lemma,bàia,sf,"presa in giro, fandonia; sbornia, ubriacatura",baia
43,lemma,baiarèl,sm,"ciarlone, pettegolo, parolaio, saputello, chiacchierino",baiarel
44,lemma,baiarèla,sf,"1. uccelletto simile alla capinera, sterpazzola, bigiarella; 2. donna ciarlona",baiarela
45,lemma,baiòchi,smpl,"soldi, denaro",baiochi
46,lemma,bàit,sm,"capanna, capanno, casotto, piccola costruzione",bait
47,lemma,bàita,sf,"capanna, baita, casetta di montagna",baita
48,lemma,baitèl,sm,piccola baita,baitel
49,lemma,bal,sm,"ballo, danza, festa danzante",bal
50,lemma,bala,sf,"1. palla, boccia, pallottola; 2. testicolo; 3. frottola, bugia; 4. balla, sbornia, ubriacatura",bala
