Num,Tipo,Voce,Cat,Italiano,Et_Audio
1,lemma,a,prep,a,a
2,lemma,abadàr,vb,"badare, dar retta, dare ascolto, custodire, aver cura",abadar
3,lemma,abate,sm,"abate, seminarista",abate
4,lemma,abazìa,sf,"abbazia, convento",abazia
5,lemma,abelimént,sm,"abbellimento, decorazione, ornamento",abeliment
6,lemma,abelìr,vb,"abbellire, ornare, decorare",abelir
7,lemma,abilitazión,sf,abilitazione,abilitazion
8,lemma,abìs,sm,"abisso, baratro",abis
9,lemma,abit,sm,"abito, vestito",abit
10,lemma,abitàr,vb,"abitare, risiedere",abitar
11,lemma,abitazión,sf,"abitazione, alloggio",abitazion
12,lemma,abituà,agg,"abituato, assuefatto, avvezzo",abitua
13,lemma,abituàr,vb,"abituare, avvezzare",abituar
14,lemma,abocamént,sm,"abboccamento, colloquio",abocament
15,lemma,abocàr,vb,abboccare,abocar
16,lemma,abolì,agg,abolito,aboli
17,lemma,abolìr,vb,abolire,abolir
18,lemma,abonamént,sm,abbonamento,abonament
19,lemma,abondanza,sf,abbondanza,abondanza
20,lemma,abozàr,vb,abbozzare - anche: sbozàr,abozar
21,lemma,abràz,sm,"abbraccio, effusione, stretta",abraz
22,lemma,abrazàr,vb,"abbracciare, contenere, cingere, imbracciare - anche: embrazar",abrazar
23,lemma,àca,sf,acca (lettere dell'alfabeto),aca
24,lemma,acadér,vb,"accadere, capitare",acader
25,lemma,acadù,sm,"accaduto, evento, avvenimento, fatto, circostanza; anche: acadèst",acadu
26,lemma,acàza,sf,"acacia, robinia - anche: acàz",acaza
27,lemma,acecàr,vb,accecare,acecar
28,lemma,acèt,sm,"accoglienza, benvenuto - anche: acèto",acet
29,locuzione,acèt (far en bon –),loc,fare buona accoglienza,acet (far en bon –)
30,lemma,acetazión,sf,accettazione,acetazion
31,lemma,acèto,sm,"accoglienza, benvenuto - anche: acèt",aceto
32,lemma,àcherle,sm,uncinetto per lavorare i pizzi,acherle
33,lemma,acoliènza,sf,"accoglienza, ospitalità",acolienza
34,lemma,acónt,sm,"acconto, caparra, anticipo",acont
35,lemma,acórer,vb,"accorrere, affrettarsi",acorer
36,lemma,acòrżer,vb,"accorgere, scorgere, capire, notare - anche: nascòrzer",acorzer
37,lemma,acòrżerse,vb,"accorgersi, vedere, intuire, notare - anche: nascòrzerse",acorzerse
38,lemma,acuṡàr,vb,"accusare, incolpare, querelare",acusar
39,lemma,acuṡo,sm,accusata al gioco; (es.: l'accuso nel gioco delle carte),acuso
40,lemma,adaṡi,avv,"adagio, con calma, prudentemente",adasi
